"hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.logFC","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherPval","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherAdjPval"
NA,0.121926762880877,1
NA,0.999999999999996,1
-0.0773802397195822,0.614887532437618,1
0.178292022640179,0.968425391417445,1
-1.03067307528224,0.657925116245248,1
-0.24420833271022,0.895987474914401,1
NA,0.999999999999998,1
-1.14418567576865,0.494409803584266,1
0.200048266601357,0.76892910423237,1
0.55147237216749,0.48195064417182,1
-2.711125086412,0.0019565802586562,0.168623574839288
1.360683716378,0.289721289198513,1
0.157686160784657,0.890349044242363,1
-1.06353875248183,0.766425568241991,1
0.0390047417928525,0.74776234211047,1
0.26229796902015,0.366737364894527,1
1.28176330228166,0.0677517458199214,0.975087613157654
0.130861278059749,0.939360938756303,1
0.532340559910999,0.573376649365354,1
-3.17094424836366,0.152558821718113,1
0.854935249252061,0.624669717031396,1
NA,0.240146642783629,1
0.208920764439535,0.960678740123441,1
0.417076986212512,0.795641363655589,1
-1.0531218714608,0.670795627435795,1
1.33059227883248,0.296909598868361,1
NA,0.240146642783626,1
-0.327810158977341,0.848859496651437,1
0.107844571843791,0.989604894241449,1
0.154342241089807,0.86152775026457,1
0.742996895978059,0.451362804677711,1
0.516619358472614,0.619168856562345,1
-0.120762989698358,0.978919621069363,1
-1.29002537830723,0.0671400856166969,0.970340300976973
0.14385745752941,0.691403903357261,1
-0.124666954947364,0.97651588059112,1
-0.0353587175379238,0.645508268818246,1
-0.566774661331746,0.178637434466148,1
