"hurdle_sample_typepoor_brain.logFC","hurdle_sample_typepoor_brain.fisherPval","hurdle_sample_typepoor_brain.fisherAdjPval"
-2.49444297648008,0.0248852403610879,0.296200934792197
0.014508299680262,0.396431927362066,0.625483576206539
-0.113508036259724,0.722263362505824,0.813038874871467
NA,0.239781335644496,0.541764642531178
0.667620780123075,0.749770710385678,0.833764011485846
NA,0.200168194267542,0.524136389460613
0.342460648986916,0.00519883852371498,0.181978698194852
-0.293570723008231,0.536979474034225,0.683583221068458
NA,0.0417582592177517,0.347029599642218
NA,0.416232069815801,0.625483576206539
NA,0.0212680821437014,0.280260152448627
NA,0.538073759099414,0.683583221068458
-0.0865697232205879,0.971238603020307,0.986016694244999
NA,0.377422340205758,0.608377111689469
NA,0.200168194267542,0.524136389460613
-1.51521820018881,0.0440610059250331,0.354357137454885
NA,0.135618509909851,0.487283684892383
NA,0.0162319819824311,0.251643461851161
-0.079440914584925,0.385812844111309,0.615308084403921
-0.443911447073988,0.444388679459543,0.625483576206539
-0.835557754229144,0.232237922015948,0.541169799710902
0.125416564822967,0.791872529083306,0.863946185039871
-0.584206085084857,0.359640825624603,0.608377111689469
-0.180006263803966,0.953954834113659,0.973344160010278
0.0965028346001549,0.565170597963606,0.708681848141312
-0.607643406280967,0.117393947384969,0.479891855801651
0.333229247938358,0.0962866666833903,0.457231549628964
0.434179617719866,0.391612852065892,0.621132594259051
0.479950459176399,0.413345947843261,0.625483576206539
0.196597740232121,0.707674169396743,0.802182913309727
-0.474657469591321,0.298026757306746,0.577229950294954
1.31979562938319,0.00185912673155881,0.120440708911929
-0.421711842809068,0.703104119774003,0.797517068071609
0.60195503228879,0.51219055528985,0.678330758023317
-0.94262310589923,0.0440496957169357,0.354357137454885
NA,0.189822927466326,0.519014458575962
-0.0205477473675908,0.41874758256123,0.625483576206539
NA,0.49268927799049,0.661984497651768
-0.795143322138211,0.0101478153545031,0.235662875918217
0.112639069741908,0.0941425523556265,0.451524470852145
NA,0.650432630144558,0.759929926500348
-0.38375795887734,0.106886414620773,0.473443942408484
-0.169905535758284,0.0292301042833664,0.309428639168828
-0.0403622771259161,0.606817180751839,0.743153661650312
-0.233398729962812,0.200093391715693,0.524136389460613
NA,0.130583814585945,0.484063527751216
0.471085258468697,0.478670306038832,0.649606380826644
-0.592702065061255,0.198083776428791,0.524136389460613
NA,0.0287811147145574,0.309428602887916
-1.20507743135523,0.028046373470952,0.307984238677891
-0.559524954587683,0.0807940592595629,0.42988260297333
0.0286027804077897,0.0853617493450187,0.43811273690126
0.833062077951649,0.00551859131734084,0.185231083925866
NA,0.273527350431032,0.553885003504406
NA,0.449327202587618,0.625483576206539
0.55082749661851,0.0522710618760003,0.374194349974003
-0.069530015858497,0.392052388749737,0.621132594259051
NA,0.0162319819824311,0.251643461851161
-0.707457794990232,0.00189101634078666,0.120440708911929
1.14623193398228,0.0238217946685939,0.291917748748781
-1.25936288051907,0.144855622067312,0.497092437445835
NA,0.0446219534188454,0.356863746153895
NA,0.228100683692552,0.537469246197337
-0.760900744430725,0.0868093878397044,0.441262756297143
-0.39163537554054,0.621996995822564,0.752650634752234
-0.939406508902134,0.143687894324147,0.495801831128963
-1.15902922305247,0.206501841940506,0.530544606341411
-0.714644563092772,0.190307695437146,0.520016517703057
-0.103886543518104,0.788106103652762,0.863460251996198
NA,0.449327202587617,0.625483576206539
-0.399883091592785,0.130991219751108,0.484063527751216
1.09212755259995,0.0324249145992297,0.31711636125111
NA,0.449327202587618,0.625483576206539
NA,0.029054711014815,0.309428602887916
NA,0.0879009474695503,0.441262756297143
-0.229917381053358,0.118206041084016,0.479891855801651
NA,0.797664681268442,0.863946185039871
NA,0.108411085708217,0.473882580316405
NA,0.0352917332163168,0.327444076118016
-0.457995343466556,0.216829071591271,0.53356957813146
0.227407590928864,0.103803160026715,0.468510994643648
0.282981937650004,0.089917648637703,0.445110475749535
0.111435205441771,0.806174724768581,0.870025039747678
NA,0.797664681268443,0.863946185039871
-0.0601106757323239,0.775940198866811,0.852789989204954
0.21481403389518,0.21733878192835,0.533826989536036
0.481401767261964,0.670784994091027,0.774050177977679
NA,0.65043263014456,0.759929926500348
NA,0.449327202587618,0.625483576206539
-1.19868513559777,0.000272728864289055,0.0513412087024146
0.0112863599177922,0.920147862400415,0.94525421608119
0.347835623251425,0.0529580143698325,0.374488427687838
-0.123816251156947,0.420685617392868,0.625483576206539
1.03660362154579,0.0217056239439746,0.281277525160542
-0.13260575181269,0.774886352388548,0.852164816073448
-0.165706489897165,0.425363004172668,0.625483576206539
NA,0.650432630144562,0.759929926500348
