Raw file name - analytical LC-FAIMS-MS/MS run	Raw file name - pre-analytical LC-FAIMS-MS run (TIC normalization)	Cohort	Experiment name for MQ and Prosit	Experiment FP_DDA	Bioreplicate FP_DDA	Folder name FP_DDA	Experiment FP_Booster	Bioreplicate FP_Booster	Folder name FP_Booster	Experiment FP_WWA	Bioreplicate FP_WWA	Folder name FP_WWA
05058_P056555_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056321_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056555	P056555	76	P056555_76	P056555	76	P056555_76	P056555	76	P056555_76
05058_P056556_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056322_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056556	P056556	77	P056556_77	P056556	77	P056556_77	P056556	77	P056556_77
05058_P056557_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056323_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056557	P056557	78	P056557_78	P056557	78	P056557_78	P056557	78	P056557_78
05058_P056558_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056324_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056558	P056558	79	P056558_79	P056558	79	P056558_79	P056558	79	P056558_79
05058_P056559_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056325_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056559	P056559	80	P056559_80	P056559	80	P056559_80	P056559	80	P056559_80
05058_P056560_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056326_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056560	P056560	81	P056560_81	P056560	81	P056560_81	P056560	81	P056560_81
05058_P056561_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056327_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056561	P056561	82	P056561_82	P056561	82	P056561_82	P056561	82	P056561_82
05058_P056562_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056328_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056562	P056562	83	P056562_83	P056562	83	P056562_83	P056562	83	P056562_83
05058_P056563_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056329_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056563	P056563	84	P056563_84	P056563	84	P056563_84	P056563	84	P056563_84
05058_P056565_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056331_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056565	P056565	85	P056565_85	P056565	85	P056565_85	P056565	85	P056565_85
05058_P056591_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056237_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056591	P056591	86	P056591_86	P056591	86	P056591_86	P056591	86	P056591_86
05058_P056592_15SPD_FMS-30-40-50-60-70_R1.raw	05043_P056265_TIC_Norm_FMS-45-65_R1.raw	Glioma	P056592	P056592	87	P056592_87	P056592	87	P056592_87	P056592	87	P056592_87
