"Protein.Groups","sample_typepoor.logFC","sample_typepoor.adjPval"
"AN32B_HUMAN",1.15186227762735,0.0606725367531993
"AN32E_HUMAN",1.73373757577579,0.391408144422165
"ANAG_HUMAN",NA,NA
"ANFY1_HUMAN",0.260097277376024,0.605411555700468
"ANGT_HUMAN",-0.6198154475464,0.327343337378113
"ANK1_HUMAN",0.999748270930629,0.208560312278167
"ANK1_HUMAN;ANK2_HUMAN;ANK3_HUMAN",-0.414503723727811,0.352574473646239
"ANK1_HUMAN;ANK3_HUMAN",-0.286267277550472,0.834342300577322
"ANK2_HUMAN",-0.635950997191257,0.646489714875857
"ANK2_HUMAN;ANK3_HUMAN",-0.252649002432599,0.839209755990956
"ANK3_HUMAN",-0.515586462037126,0.248344779468961
"ANKH1_HUMAN",NA,NA
"ANKH1_HUMAN;ANR17_HUMAN",NA,NA
"ANKY2_HUMAN",0.201784648226676,0.73730339151327
"ANLN_HUMAN",-0.901412185185177,0.13556013426569
"ANM1_HUMAN",1.47486399665115,0.0382484197438658
"ANM1_HUMAN;ANM8_HUMAN",0.904035914593904,0.251658307223614
"ANM5_HUMAN",0.634858158472182,0.0450980044344372
"ANM8_HUMAN",0.318621935991172,0.661502685090699
"ANO10_HUMAN",-0.341490282922142,0.219163878380219
"ANO6_HUMAN",0.0650480823469551,0.963824970320833
"ANR17_HUMAN",NA,NA
"ANR28_HUMAN",0.542022658403583,0.67685355322825
"ANR28_HUMAN;ANR44_HUMAN",NA,NA
"ANR29_HUMAN",-0.217944804680446,0.715068013077295
"ANR44_HUMAN",NA,NA
"ANS1A_HUMAN",NA,NA
"ANS1B_HUMAN",0.0402728816234695,0.956118904415787
"ANT3_HUMAN",0.991565446093826,0.128941035527499
"ANT3_HUMAN;sp|CONTAMINANT_P41361",-0.723253755668713,0.605004905255343
"ANX11_HUMAN",0.147356568789072,0.607574901524579
"ANX13_HUMAN",-0.486922183202064,0.762158146478929
"ANXA1_HUMAN",0.238416925057479,0.849538728462914
