"Protein.Groups","sample_typenot_brain.logFC","sample_typenot_brain.pval","sample_typenot_brain.adjPval"
"ARP10_HUMAN",-0.00125737808430109,0.996213830707554,0.997557514380692
"ARP19_HUMAN",0.358940789367656,0.200061800857687,0.373680846024251
"ARP19_HUMAN;ENSA_HUMAN",NA,NA,NA
"ARPC4_HUMAN",-0.765453594786246,0.00174661391878776,0.0235666322558944
"ARRB2_HUMAN",0.166540588956798,0.546447873627844,0.707644211790469
"ARSA_HUMAN",-1.23932725976515,0.000758398372209348,0.0140789642774318
"ARVC_HUMAN",0.0286937574612269,0.904660441692982,0.952957468717923
"ASAH1_HUMAN",-0.795308041679757,0.0615048265101806,0.182623554443659
"ASAP1_HUMAN",0.0300421881143387,0.87458250960733,0.939063139338473
"ASAP1_HUMAN;ASAP2_HUMAN",-0.0562924268858215,0.787663842558812,0.885096846965965
"ASH2L_HUMAN",NA,NA,NA
"ASPC1_HUMAN",-0.995558320939642,0.147558579465226,0.307542014374747
"ASTN1_HUMAN",0.413506984246439,0.115668010607312,0.260111273853452
"AT11B_HUMAN",NA,NA,NA
"AT1A2_HUMAN",0.767851997389667,0.188131796320427,0.358858468033247
"AT1A2_HUMAN;AT1A3_HUMAN",0.362680748819786,0.160596332667751,0.324432786221895
"AT1A2_HUMAN;AT1A4_HUMAN",-0.0239047587078976,0.962870915580373,0.975551204299182
"AT1A3_HUMAN",0.0317039715181538,0.942966023046311,0.969230295228762
"AT1A3_HUMAN;AT1A4_HUMAN",0.769289734111536,0.10624646103519,0.248608434823667
"AT2B2_HUMAN",0.032310680013214,0.946273799633742,0.969230295228762
"AT2B2_HUMAN;AT2B3_HUMAN",-2.88510195588251,6.96509350320903e-06,0.0008073965073182
"AT2C1_HUMAN",0.49204807627806,0.151933133477512,0.313986639144344
"ATD3B_HUMAN",0.0794298349150325,0.601974512900925,0.752731525060447
"ATE1_HUMAN",-0.270275146478307,0.53751684942203,0.700030815251544
"ATG13_HUMAN",NA,NA,NA
"ATG2A_HUMAN",NA,NA,NA
"ATLA3_HUMAN",-0.43428339178314,0.174229175067041,0.342669385046109
"ATP5S_HUMAN",0.326805579741484,0.0760084794269537,0.206171017232896
"ATPF1_HUMAN",0.740975383713121,0.00167291443336872,0.0232560453426636
"ATX10_HUMAN",-0.317409417068259,0.102688462197564,0.244718607964325
"ATX2_HUMAN",-0.0999090591723018,0.661910555627897,0.797508778448583
"ATX2L_HUMAN",-0.187874132315054,0.279400072379888,0.460232614737068
"AVL9_HUMAN",0.512127477995573,0.0300416316177174,0.118806883660585
"B2CL1_HUMAN",0.0168968242947311,0.927866372034283,0.962819928767409
"B2L13_HUMAN",0.285398039098025,0.300750552428859,0.478753377045314
"B4GT5_HUMAN",-0.635360390185022,0.201456353252621,0.374921306509696
"BAALC_HUMAN",NA,NA,NA
"BABA1_HUMAN",NA,NA,NA
"BAG1_HUMAN",NA,NA,NA
"BAG6_HUMAN",-0.358749721958296,0.101492217580146,0.243130834542516
"BAIP2_HUMAN",1.00920596887383,0.0294145421396186,0.11749130318289
"BAP18_HUMAN",-0.0523034465788351,0.928376267845387,0.962819928767409
"BASI_HUMAN",-0.320837384769416,0.152908512556603,0.314898322277982
"BCAM_HUMAN",0.43194162455231,0.0146643726810326,0.0820630232592345
"BCAR1_HUMAN",NA,NA,NA
"BCLF1_HUMAN",-0.155129298698603,0.678413862555018,0.812591016833197
"BCS1_HUMAN",-0.0931642630623996,0.765850703695356,0.871256070229993
"BDH_HUMAN",0.521946381050604,0.287238265680251,0.467594842953667
"BET1_HUMAN",-0.728459569403797,0.551821721983725,0.712090618734273
"BGAL_HUMAN",-1.19212746290971,0.04698021361862,0.155611357382974
"BI1_HUMAN",-1.4282082912525,0.100222664071776,0.241349853768648
"BL1S1_HUMAN",NA,NA,NA
"BLMH_HUMAN",-0.333013541239868,0.199626526179268,0.37340945518752
"BMP2K_HUMAN",0.720179539150695,0.051398623415214,0.162895464536991
"BNI3L_HUMAN",NA,NA,NA
"BOLA2_HUMAN",-1.62000692191313,0.00260364687532253,0.0301703867676439
"BPIA3_HUMAN",0.541753814352014,0.0439643214990302,0.149573308122473
"BRAF_HUMAN",0.0375347250341371,0.900933429298598,0.950766505976833
"BRCC3_HUMAN",0.229011578028115,0.602185220048357,0.752731525060447
"BRI3B_HUMAN",0.69369280256773,0.00828901912383321,0.0590395243703984
"BRSK1_HUMAN",0.643801098027763,0.0156322660169605,0.0842734948639097
"BRSK1_HUMAN;BRSK2_HUMAN",0.427490839115394,0.0298424173966532,0.118308179972692
"BRSK2_HUMAN",-1.03713126939675,0.0035968972406254,0.0375017411167477
"BT3A2_HUMAN;BT3A3_HUMAN",0.353554255143991,0.322453008560292,0.50271985616664
"BT3L4_HUMAN",0.135780963647886,0.762566538521038,0.869676568170357
"BTBDH_HUMAN",1.24412749005083,0.0140280174224,0.079694773901251
"BUB3_HUMAN",-0.353319168616857,0.46310992081385,0.633134266605421
"BZW2_HUMAN",-1.51630709383002,0.00531879918048585,0.0468707168132967
"C10_HUMAN",-0.21830111967562,0.244435958529759,0.4251563828456
"C163A_HUMAN",-0.0618011621292414,0.911113071404516,0.954571017746654
"C170B_HUMAN",0.379747542034885,0.0492116217765653,0.159265125149907
"C1QB_HUMAN",0.0952447523989592,0.797750892612926,0.890975586089299
"C1S_HUMAN",-0.113694892045053,0.863433427573242,0.933097962071201
"C1TC_HUMAN",-0.894488337418452,0.000323585146287207,0.00802403707347332
"C1TM_HUMAN",-0.39217641002097,0.0488852802072897,0.158488496785118
"C2D1B_HUMAN",NA,NA,NA
"CA2D2_HUMAN",0.394190844704463,0.181413357192435,0.352268265024464
"CAB45_HUMAN",0.0533181149061654,0.890444219529837,0.946209723818697
"CABP1_HUMAN",0.593770181419479,0.0343659793288762,0.129944931497949
"CAC1A_HUMAN",-0.302412643199669,0.5894257158359,0.743576062360891
"CAC1B_HUMAN",0.338573772081868,0.394206291806748,0.571832842265125
"CAC1E_HUMAN",1.05164903013262,0.000272007517258485,0.00744975812193014
"CACB1_HUMAN",0.510060690372385,0.0360515254966821,0.133916091672898
"CACB1_HUMAN;CACB3_HUMAN;CACB4_HUMAN",0.714965196282257,0.00267272214883396,0.0304623921932318
"CACB3_HUMAN",-0.0633553210975331,0.880752457658325,0.94237945178019
"CACB4_HUMAN",-2.11199357226906,0.0245227643799266,0.107911924789365
"CAD10_HUMAN",0.241016068798278,0.347662024019411,0.526369483560743
"CADH1_HUMAN",-1.44806201372519,0.152103981444795,0.313986639144344
"CADM1_HUMAN",0.464245700214034,0.104154525815193,0.245605936456063
"CAH1_HUMAN",-0.176886723462318,0.710909089891125,0.834664304609443
"CAH14_HUMAN",-1.08296739109771,0.00507618882667118,0.045438199498915
"CALM2_HUMAN",-1.95461640160378,2.31166094226198e-06,0.0008073965073182
"CAMKV_HUMAN",0.74936416543383,0.0507348783201921,0.161739058688888
"CAN5_HUMAN",0.539519811948308,0.0454238271419567,0.152476571356444
"CANB1_HUMAN",0.719677008530909,0.11788746976576,0.26348782828279
"CANB1_HUMAN;CANB2_HUMAN",-0.419713008126305,0.207416019428413,0.382905830634947
"CAP2_HUMAN",0.144357991896466,0.790422902828354,0.886069460898185
"CAPG_HUMAN",0.199481600178209,0.681088624187566,0.814731176912766
"CAPR1_HUMAN",-0.369446375387142,0.24843519814158,0.428675441340967
"CAPS1_HUMAN",0.823560348361877,0.0272760461546674,0.112983170866399
"CAPS1_HUMAN;CAPS2_HUMAN",0.893036470749408,0.0549555515796356,0.169484768317027
"CAPS2_HUMAN",0.305327935316833,0.29388388592465,0.472484679997427
"CASP7_HUMAN",NA,NA,NA
"CASP8_HUMAN",NA,NA,NA
"CATD_HUMAN",-0.785414569117245,0.0269569249762496,0.111913930614068
"CATH_HUMAN",-0.248944874657886,0.752952490523166,0.863542387568756
"CB39L_HUMAN",-0.316220555050123,0.21357138974211,0.388407829709388
"CBPM_HUMAN",-0.553729856688707,0.258998781444279,0.438839117220916
"CBS_HUMAN",NA,NA,NA
"CC177_HUMAN",NA,NA,NA
"CC50A_HUMAN",0.767879047091505,0.0293230528442404,0.11749130318289
"CCAR2_HUMAN",-1.11239092630625,0.00163863767090779,0.0229534360772198
"CCD43_HUMAN",-0.694328392213936,0.0442224827334247,0.149573308122473
"CCD91_HUMAN",1.21266964404115,0.00527666612382559,0.0468707168132967
"CCD93_HUMAN",-0.0375846796619855,0.888144913036593,0.945390240928285
"CCDC9_HUMAN",-0.628806007947565,0.212855073844538,0.387489147326118
"CCG3_HUMAN",0.568996350495811,0.049789010356967,0.160004963231234
"CCG8_HUMAN",NA,NA,NA
"CCS_HUMAN",0.179782606240031,0.455998292079736,0.626784169263158
"CD151_HUMAN",0.908449395563219,0.254433992985955,0.435122439076634
"CD276_HUMAN",NA,NA,NA
"CD36_HUMAN",-1.80218334971135,0.0421257422768794,0.146402911132715
"CD44_HUMAN",-0.893470759962889,0.0709401686732229,0.197534460569596
"CD47_HUMAN",-1.2916665384308,0.0291708559982015,0.117387106922587
"CD59_HUMAN",0.209386856809881,0.653691217776072,0.792086574380881
"CD81_HUMAN",0.550925437398518,0.0899632860303096,0.226450795426088
"CD9_HUMAN",-0.365828660022844,0.551184131155247,0.711768388930245
"CDC16_HUMAN",NA,NA,NA
"CDC27_HUMAN",NA,NA,NA
"CDC37_HUMAN",-0.718702186397264,0.00338616463000737,0.036550659388609
"CDC73_HUMAN",-0.758211466247625,0.11565488079927,0.260111273853452
"CDIPT_HUMAN",0.0245384539716423,0.931030528091848,0.962819928767409
"CDK14_HUMAN",NA,NA,NA
"CDK2_HUMAN",NA,NA,NA
"CDO1_HUMAN",NA,NA,NA
"CE170_HUMAN",-0.104675042932164,0.788831749219262,0.885324929551893
"CELF2_HUMAN",-0.555813613727555,0.022994315264784,0.104442001264551
"CELF4_HUMAN",0.0312410592000808,0.940815119019752,0.968253361414047
"CENPP_HUMAN",-0.195527533989459,0.811885647974247,0.899100883544203
"CERT_HUMAN",-1.0016749385442,0.288054290763565,0.467594842953667
"CFAB_HUMAN",0.354082201072289,0.376600908462217,0.553292767836804
"CFAI_HUMAN",-1.39541821434234,0.00533840861797222,0.0468707168132967
"CG050_HUMAN",-1.08703494095321,0.0318940781781473,0.123211859909264
"CH10_HUMAN",-1.0997456157582,6.81177194862374e-05,0.00282147330992662
"CHD4_HUMAN",-0.887996073824608,0.345403362408062,0.524936447562239
"CHERP_HUMAN",-0.41461126309158,0.302191973124282,0.480521898338872
"CHIN_HUMAN",0.516127971293775,0.0180010626503863,0.089692706632627
"CHM2A_HUMAN",-0.590238188462547,0.0412695931512218,0.144779548485705
"CHM4A_HUMAN",-0.345625534647645,0.235324278171116,0.416903819455462
"CHMP6_HUMAN",-0.393438137728822,0.0518105691668186,0.163917921415711
"CHRD1_HUMAN",-0.0924888130804953,0.601555213108322,0.752731525060447
"CI072_HUMAN",0.387985770078532,0.0813638833114783,0.214343391467201
"CIP2A_HUMAN",NA,NA,NA
"CISD2_HUMAN",-0.305223301736084,0.15420610871966,0.316619870719847
"CISY_HUMAN",-1.97139393631735,7.21955211587714e-06,0.0008073965073182
"CK054_HUMAN",-1.66676361784252,0.0104706132552895,0.067394314722792
"CK5P3_HUMAN",-0.149573681036287,0.567933062934915,0.727763387210593
"CKLF5_HUMAN",0.698998548816406,0.0686440835710174,0.194157685913968
"CLAP2_HUMAN",0.305449843912247,0.233461687373267,0.414691882972866
"CLCN3_HUMAN",NA,NA,NA
"CLCN4_HUMAN",NA,NA,NA
"CLCN7_HUMAN",-0.837274012073071,0.0316647849467662,0.12284329889496
"CLDN1_HUMAN",0.208020768944245,0.703534714110907,0.831376723587985
"CLH1_HUMAN",-1.89435135056529,6.87502837680107e-05,0.00282147330992662
"CLH1_HUMAN;CLH2_HUMAN",-1.77365365478845,0.000182955135449965,0.00588987146580151
"CLIP1_HUMAN",-0.534736267926058,0.0288413970872838,0.116572607169968
"CLIP1_HUMAN;CLIP2_HUMAN",0.122288891654945,0.60019051824013,0.752731525060447
"CLPB_HUMAN",-0.103758873262361,0.644389878447085,0.785684669070034
"CLU_HUMAN",0.0352793848433392,0.903202222754043,0.951967879812562
"CLUS_HUMAN",0.62377261251565,0.0957225286155341,0.234890767978145
"CLVS1_HUMAN;CLVS2_HUMAN",0.276595596676742,0.182618182288824,0.353242065004834
"CMIP_HUMAN",0.928714935947386,0.0303672639997906,0.119451608807283
"CNKR2_HUMAN",0.899092664481938,0.00297928547417478,0.0331332657279437
"CNN2_HUMAN",-0.168907921286809,0.791464025720736,0.886366884149285
"CNN2_HUMAN;CNN3_HUMAN",-0.0592563176739339,0.93254178523395,0.962819928767409
"CNOT2_HUMAN",NA,NA,NA
"CNOT3_HUMAN",NA,NA,NA
"CNPY2_HUMAN",-0.506129463934302,0.17037653357137,0.338355994700718
"CNPY4_HUMAN",-0.910697157433058,0.0325955283896404,0.125131369445586
"CNRP1_HUMAN",-1.14142249491669,0.0404597434429912,0.14388300236025
"CNTN2_HUMAN",0.0306786493868741,0.910098841925479,0.954571017746654
"CNTP4_HUMAN",0.468097043310725,0.249596885916933,0.429653176038998
"CO1A2_HUMAN",1.09258593451264,0.257388891426638,0.437122847738809
"CO2_HUMAN",1.08154266786377,0.0344867474874665,0.129944931497949
"CO4A_HUMAN;CO4B_HUMAN",1.21720018588414,0.0160017685212338,0.0851172114802568
